text	verb	explanation	madarian	romen	ro_correct	hanzi	han_correct	page	description	toggle	note	updated_at
Source.	 sf.	d'eau.	来源	zié ’ngè.		泉眼		536		true	自旧档汇入	2026-04-13T01:27:08+08:00
Source.	 sf.	Fig. Origine.	来源	ken ’tse.		根子		536		true	自旧档汇入	2026-04-13T01:27:08+08:00
Source.	 sf.	Fig. Origine.	来源	lai(gneu)deû.		來（原）頭		536		true	自旧档汇入	2026-04-13T01:27:08+08:00
Source.	 sf.	Fig. Origine.	来源	ken yeû.		根由		536		true	自旧档汇入	2026-04-13T01:27:08+08:00
Sourcil. 	 sm.		眉	’ngè mi mao.		眼眉毛		536		true	自旧档汇入	2026-04-13T01:27:08+08:00
Sourcil. 	 sm.		眉	mi mao.		眉毛		536		true	自旧档汇入	2026-04-13T01:27:08+08:00
Sourcil. 	 sm.	Froncer le -. 	眉	tseû’ mi deû.		皺眉頭		536		true	自旧档汇入	2026-04-13T01:27:08+08:00
Sourciller (Sans). 	 vn.		皱眉	mié’ ’k‘ong ih ’ngè véh pié’.		面孔一眼勿變		536		true	自旧档汇入	2026-04-13T01:27:08+08:00
Sourciller (Sans). 	 vn.		皱眉	véh t‘ong’ véh ’yang.		勿痛勿癢		536		true	自旧档汇入	2026-04-13T01:27:08+08:00
Sourcilleux.	adj.		忧虑的	zeû mi péh ’tsé ke’.		愁眉不展个		536		true	自旧档汇入	2026-04-13T01:27:08+08:00
Sourcilleux.	fig.	Fig. Hautain.	高耸的	’ngè ka’ kao (dou’).		眼界高（大）		536		true	自旧档汇入	2026-04-13T01:27:08+08:00
Sourcilleux.	fig.	Orgueilleux	高耸的	’ngè ka’ ’koang k‘oéh.		眼界廣闊		536		true	自旧档汇入	2026-04-13T01:27:08+08:00
Sourd. 	adj.		聋	long bang’.		聾[彭耳]		536		true	自旧档汇入	2026-04-13T01:27:08+08:00
Sourd. 	adj.		聋	’gni ’tou long.		耳朵聾		536		true	自旧档汇入	2026-04-13T01:27:08+08:00
Sourd. 	adj.	Peu sonore.	聋	hiang seng k‘ieû.		響聲恘		536		true	自旧档汇入	2026-04-13T01:27:08+08:00
