where	word	mean	pinYin	toggle	pinYinSearch	Pronunciation	note	updated_at
上海·市区(中新派)	吟(吟)	[空]	gnin6(ȵin¹¹³)	true	gnin6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
上海·市区(中新派)	垠(垠)	[空]	gnin6(ȵin¹¹³)	true	gnin6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
上海·市区(中新派)	狺(狺)	[空]	gnin6(ȵin¹¹³)	true	gnin6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
上海·市区(中新派)	龈(齦)	[空]	gnin6(ȵin¹¹³)	true	gnin6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
上海·市区(中新派)	凝(凝)	[空]	gnin6(ȵin¹¹³)	true	gnin6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
上海·市区(中新派)	宁(寧)	[空]	gnin6(ȵin¹¹³)	true	gnin6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
上海·市区(中新派)	宁(甯)	[空]	gnin6(ȵin¹¹³)	true	gnin6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
上海·市区(中新派)	咛(嚀)	[空]	gnin6(ȵin¹¹³)	true	gnin6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
上海·市区(中新派)	佞(佞)	[空]	gnin6(ȵin¹¹³)	true	gnin6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
上海·市区(中新派)	泞(濘)	[空]	gnin6(ȵin¹¹³)	true	gnin6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
上海·市区(中新派)	迎(迎)	[空]	gnin6(ȵin¹¹³)	true	gnin6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
上海·市区(中新派)	仍(仍)	白	gnin6(ȵin¹¹³)	true	gnin6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
上海·市区(中新派)	鄞(鄞)	~县	gnin6(ȵin¹¹³)	true	gnin6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
上海·市区(中新派)	狞(獰)	[空]	gnin6(ȵin¹¹³)	true	gnin6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
上海·市区(中新派)	柠(檸)	~檬	gnin6(ȵin¹¹³)	true	gnin6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
上海·市区(中新派)	心(心)	[空]	shin1(ɕin⁵³)	true	shin1	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
