where	word	mean	pinYin	toggle	pinYinSearch	Pronunciation	note	updated_at
嘉定·真如(南)	赞(贊)	[空]	tsae5(tsɛ³⁵)	true	tsae5	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
嘉定·真如(南)	灒(灒)	[空]	tsae5(tsɛ³⁵)	true	tsae5	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
嘉定·真如(南)	餐(餐)	[空]	tshe1(tsʰe⁵³)	true	tshe1	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
嘉定·真如(南)	餐(餐)	[空]	tshoe1(tsʰø⁵³)	true	tshoe1	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
嘉定·真如(南)	残(殘)	[空]	zae2(zɛ²²)	true	zae2	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
嘉定·真如(南)	散(散)	[空]	sae5(sɛ³⁵)	true	sae5	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
嘉定·真如(南)	伞(傘)	[空]	soe3(sø⁴⁴)	true	soe3	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
嘉定·真如(南)	伞(傘)	[空]	sae3(sɛ⁴⁴)	true	sae3	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
嘉定·真如(南)	干(幹)	[空]	koe1(kø⁵³)	true	koe1	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
嘉定·真如(南)	竿(竿)	[空]	koe1(kø⁵³)	true	koe1	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
嘉定·真如(南)	杆(桿)	[空]	koe1(kø⁵³)	true	koe1	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
嘉定·真如(南)	肝(肝)	[空]	koe1(kø⁵³)	true	koe1	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
嘉定·真如(南)	奸(姦)	[空]	kae1(kɛ⁵³)	true	kae1	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
嘉定·真如(南)	奸(姦)	[空]	ciae1(tɕiɛ⁵³)	true	ciae1	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
嘉定·真如(南)	赶(趕)	[空]	koe3(kø⁴⁴)	true	koe3	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
