vocabulary	originalEntry	explanation	example	pinYin	location	place	source	toggle	whichCounty	whichTown	note	updated_at
宕子(宕子)	宕子	[暂无]([暂无])	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
荡1/荡(蕩1/盪)	蕩1/盪	摇动，摆动：～秋千。 ②闲逛：游～。 ｜～街路（逛街）。洗，冲：碗～～干净。 ‖荡，《广韵》上声荡韵徒朗切“大也。又水名”。荡，《广韵》上声荡韵徒朗切“涤荡，摇动皃。说文曰涤器”。 《说文解字》五上皿部“荡，涤器也”。简化字合两字为一。(搖動，擺動：～秋千。②閒逛：遊～。｜～街路（逛街）。洗，沖：碗～～乾淨。‖蕩，《廣韻》上聲蕩韻徒朗切“大也。又水名”。盪，《廣韻》上聲蕩韻徒朗切“滌蕩，搖動皃。說文曰滌器”。《說文解字》五上皿部“盪，滌器也”。簡化字合兩字為一。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
荡2(蕩2)	蕩2	浅水湖：一只芦～（一个长芦苇的湖）。 ②海边的：～爿（海边的低洼处）。(淺水湖：一隻蘆～（一個長蘆葦的湖）。②海邊的：～爿（海邊的低窪處）。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
荡板田(蕩板田)	蕩板田	原是水塘、以后改作耕地的土地。(原是水塘、以後改作耕地的土地。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
荡孛相(蕩孛相)	蕩孛相	闲逛玩儿：念书弗好好叫念，单晓得～（读书不好好读，光知道闲逛玩）。(閒逛玩兒：念書弗好好叫念，單曉得～（讀書不好好讀，光知道閒逛玩）。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
荡柴(蕩柴)	蕩柴	长在海边上的柴草（含荡芦在内）。(長在海邊上的柴草（含蕩蘆在內）。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
荡荡乎(蕩蕩乎)	蕩蕩乎	形容无事走来走去和闲逛的样子：夷无哪事体做，一直～（他没有什么事情做，一直闲逛）。(形容無事走來走去和閒逛的樣子：夷無哪事體做，一直～（他沒有什麼事情做，一直閒逛）。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
荡发荡发(蕩發蕩發)	蕩發蕩發	形容慢慢吞吞走路的样子：夷跑出路来～（他走起(形容慢慢吞吞走路的樣子：夷跑出路來～（他走起)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
荡粪桶(蕩糞桶)	蕩糞桶	)清洗粪桶的一种方法。将粪桶绳挂在扁担的头上，而后在河沟里晃动着清洗。()清洗糞桶的一種方法。將糞桶繩掛在扁擔的頭上，而後在河溝裏晃動著清洗。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
荡广(蕩廣)	蕩廣	闲逛：我里勒镇浪～（我们在镇上闲逛）。(閒逛：我裏勒鎮浪～（我們在鎮上閒逛）。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
