vocabulary	originalEntry	explanation	example	pinYin	location	place	source	toggle	whichCounty	whichTown	note	updated_at
眼乌珠(眼烏珠)	眼烏珠	眼睛(眼睛)	[暂无]	[暂无]	华娄小片	青浦·赵巷	赵巷镇志	TRUE	qingpu	qingpu_zhaoxiang	自旧档汇入	2026-09-16T16:01:28+08:00
眼仙人(眼仙人)	眼仙人	瞳孔(瞳孔)	[暂无]	[暂无]	华娄小片	青浦·赵巷	赵巷镇志	TRUE	qingpu	qingpu_zhaoxiang	自旧档汇入	2026-09-16T16:01:28+08:00
烊(烊)	烊	溶化(溶化)	[暂无]	[暂无]	华娄小片	青浦·赵巷	赵巷镇志	TRUE	qingpu	qingpu_zhaoxiang	自旧档汇入	2026-09-16T16:01:28+08:00
腰子(腰子)	腰子	肾脏(腎臟)	[暂无]	[暂无]	华娄小片	青浦·赵巷	赵巷镇志	TRUE	qingpu	qingpu_zhaoxiang	自旧档汇入	2026-09-16T16:01:28+08:00
药匙蛋(藥匙蛋)	藥士代	蝉(蟬)	[暂无]	[暂无]	华娄小片	青浦·赵巷	赵巷镇志	TRUE	qingpu	qingpu_zhaoxiang	自旧档汇入	2026-09-16T16:01:28+08:00
夜头(夜頭)	夜頭	夜晚(夜晚)	[暂无]	[暂无]	华娄小片	青浦·赵巷	赵巷镇志	TRUE	qingpu	qingpu_zhaoxiang	自旧档汇入	2026-09-16T16:01:28+08:00
一塌刮子(一塌刮子)	一塌括子	全部(全部)	[暂无]	[暂无]	华娄小片	青浦·赵巷	赵巷镇志	TRUE	qingpu	qingpu_zhaoxiang	自旧档汇入	2026-09-16T16:01:28+08:00
一天世界(一天世界)	一天四界	塌糊涂(塌糊塗)	[暂无]	[暂无]	华娄小片	青浦·赵巷	赵巷镇志	TRUE	qingpu	qingpu_zhaoxiang	自旧档汇入	2026-09-16T16:01:28+08:00
一贴药(一貼藥)	一貼藥	服帖(服帖)	[暂无]	[暂无]	华娄小片	青浦·赵巷	赵巷镇志	TRUE	qingpu	qingpu_zhaoxiang	自旧档汇入	2026-09-16T16:01:28+08:00
一歇歇(一歇歇)	一歇歇	立刻、片刻(立刻、片刻)	[暂无]	[暂无]	华娄小片	青浦·赵巷	赵巷镇志	TRUE	qingpu	qingpu_zhaoxiang	自旧档汇入	2026-09-16T16:01:28+08:00
一眼眼(一眼眼)	一眼眼	很少(很少)	[暂无]	[暂无]	华娄小片	青浦·赵巷	赵巷镇志	TRUE	qingpu	qingpu_zhaoxiang	自旧档汇入	2026-09-16T16:01:28+08:00
伊(伊)	伊	他(他)	[暂无]	[暂无]	华娄小片	青浦·赵巷	赵巷镇志	TRUE	qingpu	qingpu_zhaoxiang	自旧档汇入	2026-09-16T16:01:28+08:00
伊拉(伊拉)	伊拉	他们(他們)	[暂无]	[暂无]	华娄小片	青浦·赵巷	赵巷镇志	TRUE	qingpu	qingpu_zhaoxiang	自旧档汇入	2026-09-16T16:01:28+08:00
阴私天(陰私天)	陰水天	阴天(陰天)	[暂无]	[暂无]	华娄小片	青浦·赵巷	赵巷镇志	TRUE	qingpu	qingpu_zhaoxiang	自旧档汇入	2026-09-16T16:01:28+08:00
有心想(有心想)	有心相	耐心(耐心)	[暂无]	[暂无]	华娄小片	青浦·赵巷	赵巷镇志	TRUE	qingpu	qingpu_zhaoxiang	自旧档汇入	2026-09-16T16:01:28+08:00
有种(有種)	有種	有胆量(有膽量)	[暂无]	[暂无]	华娄小片	青浦·赵巷	赵巷镇志	TRUE	qingpu	qingpu_zhaoxiang	自旧档汇入	2026-09-16T16:01:28+08:00
