vocabulary	originalEntry	explanation	example	pinYin	location	place	source	toggle	whichCounty	whichTown	note	updated_at
美孚灯(美孚燈)	美孚燈	见〖美火盏〗。(見〖美火盞〗。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
美孚盏(美孚盞)	美孚盞	只能端着走、不能提着走的带有瓶状玻璃罩(“美孚罩”)的煤油灯。 ‖也说“美孚灯”。 “孚”单字音，此处读同“货”。(只能端著走、不能提著走的帶有瓶狀玻璃罩(“美孚罩”)的煤油燈。‖也說“美孚燈”。“孚”單字音，此處讀同“貨”。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
美孚罩(美孚罩)	美孚罩	罩在“美孚灯”上的瓶状玻璃灯罩。 ‖参“美孚盏”(罩在“美孚燈”上的瓶狀玻璃燈罩。‖參“美孚盞”)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
妹妹(妹妹)	妹妹	面称同父母(或只同父、只同母)而年纪比自己小的女子。 ②面称同族同辈而年纪比自己小的女子。 ‖“妹”读阴去调。参“姊妹”(面稱同父母(或只同父、只同母)而年紀比自己小的女子。②面稱同族同輩而年紀比自己小的女子。‖“妹”讀陰去調。參“姊妹”)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
煝(煝)	煝	已有火星冒，但没有发出火焰：灶肚里停火，柴让夷～一先（灶膛内(已有火星冒，但沒有發出火焰：灶肚裏停火，柴讓夷～一先（灶膛內)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
煝∥香烟(煝∥香煙)	煝∥香煙	∥(∥)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
煝灰堆(煝灰堆)	煝灰堆	把扬场后的谷物碎屑等收在一堆点火烧成灰烬。(把揚場後的穀物碎屑等收在一堆點火燒成灰燼。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
煝煝末特(煝煝末特)	煝煝末特	请人抽烟的客气话。请人抽烟时，客人说不抽，主人就说～。(請人抽煙的客氣話。請人抽煙時，客人說不抽，主人就說～。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
门(門)	門	房屋、车船等的出入口装置的能开关的障碍物：房～。 ｜～口。 ｜前～。 ②量词，用于学问、技术等：一～学问。 ｜一～技术。(房屋、車船等的出入口裝置的能開關的障礙物：房～。｜～口。｜前～。②量詞，用於學問、技術等：一～學問。｜一～技術。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
门板(門板)	門板	旧时指比较简陋的用作门的那块板，可取下来做别的用处的，也可用于安放死者遗体：拿两块～来搁个阘子（把两个门卸下搁起来当买卖鱼肉的摊子）。 ︱人死在孩要搁勒～浪（人死了都要搁在用作门的板上）。(舊時指比較簡陋的用作門的那塊板，可取下來做別的用處的，也可用於安放死者遺體：拿兩塊～來擱個阘子（把兩個門卸下擱起來當買賣魚肉的攤子）。︱人死在孩要擱勒～浪（人死了都要擱在用作門的板上）。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
