vocabulary	originalEntry	explanation	example	pinYin	location	place	source	toggle	whichCounty	whichTown	note	updated_at
腰菱(腰菱)	腰菱	菱(菱)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
腰子(腰子)	腰子	肾(腎)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
药匙头(藥匙頭)	藥樹頭	蝉(蟬)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
夜快(夜快)	夜快	傍晚(傍晚)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
一触打(一觸打)	一觸打	一歇歇(一歇歇)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
伊、伊啦(伊、伊啦)	伊、伊啦	他、他们(他、他們)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
伊搭(伊搭)	伊搭	那里(那裏)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
伊壗头(伊壗頭)	伊海頭	他们那儿(他們那兒)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
伊拉壗头(伊拉壗頭)	伊啦海頭	他们那儿(他們那兒)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
伊爿爿(伊爿爿)	伊爿爿	那地方(那地方)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
油衣(油衣)	油衣	雨衣(雨衣)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
游火虫(遊火蟲)	遊火蟲	萤火虫(螢火蟲)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
雨落(雨落)	雨落	下雨(下雨)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
蹔𧉆(蹔𧉆)	棧即	蟋蟀(蟋蟀)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
早晨头(早晨頭)	早晨頭	早上(早上)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
长生果(長生果)	長生果	花生(花生)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
这搭(這搭)	這搭	这儿(這兒)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
着港(着港)	著港	到手(到手)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
珍珠米(珍珠米)	珍珠米	玉米(玉米)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
阵头雨(陣頭雨)	陣頭雨	阵雨(陣雨)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
正埭(正埭)	正埭	向南的正房(向南的正房)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
衆牲(衆牲)	中牲	[动物]牲畜([動物]牲畜)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
猪狗臭(豬狗臭)	豬狗臭	[病痛医疗]狐臭([病痛 醫療]狐臭)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
猪郎(豬郎)	豬郎	育种公猪(育種公豬)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
疰夏(疰夏)	痣夏	夏天季节疾病(夏天季節疾病)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
斫稻(斫稻)	斫稻	割稻(割稻)	[暂无]	[暂无]	本沪小片	川沙·高桥	高桥镇志	true	chuansha	chuansha_gaoqiao	自旧档汇入	2026-09-16T16:01:28+08:00
