vocabulary	originalEntry	explanation	example	pinYin	location	place	source	toggle	whichCounty	whichTown	note	updated_at
肚子	肚子	同“食肚”。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
肚子	肚子	家畜的胃。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
度死日	度死日	办事马虎，得过且过。例：哎呀，侬真是～，扫地哪能拿垃圾扫到墙角落勿畚脱个	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
端送	端送	办丧。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
端午节	端午节	五月初五端阳节。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
短打	短打	短上衣。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
短工	短工	季节性临时工。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
短脚裤	短脚裤	短裤。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
短衫	短衫	衬衫。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
短寿	短寿	寿命短。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
短寿命	短寿命	同“短寿”。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
段	段	一~路。一～文章。一～布。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
断档	断档	缺货。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
堆筑	堆筑	数量；容积。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
对	对	~花瓶。～夫妇。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
对冲	对冲	一半。例：辰光过脱三个钟头，生活刚刚～。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
对对过	对对过	同“贴对”。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
对过	对过	同“贴对”。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
对脚板	对脚板	脚碰脚，面对面。例：今朝我忒侬～，迭瓶茅台夯脱。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
对口疖	对口疖	项痈。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
对勿住	对勿住	对不起。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
对胸	对胸	中式上衣。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
兑换亲	兑换亲	有适龄男女家庭双方托媒协议以姐换弟媳或以妹换嫂，互把女儿嫁给对方。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
碓	碓	春米。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
碓曰	碓曰	春米。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
蹲坑	蹲坑	上茅厕。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
驐	驐	阉割。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
驐牛	驐牛	阉过的公牛。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
驐羊	驐羊	阉过的山羊。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
囤	囤	用竹席等围成的盛粮食的器具。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
囤货	囤货	囤积居奇。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
盾勺	盾勺	同“铜勺”。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
钝	钝	以反语冷嘲、挖苦。例：我常常拨伊～脱两句。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
顿	顿	~饭。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
顿时	顿时	立刻，立即。例：分配方案一公布，大家～拍手叫好。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
顿时立刻	顿时立刻	马上、立刻	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
燉	燉	蒸。例：～蛋糊。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
多管闲事多吃屁	多管闲事多吃屁	管别人的事不得好，反惹骚。例：伊勒吵架勿关侬个事体，记牢～。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
多亏	多亏	幸亏。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
多年媳妇熬成婆	多年媳妇熬成婆	比喻终于摆脱了管束，熬出了头，有了权势。例：伊当了十多年副职，这次终于提了正职，有人讲伊～。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
多日（带日）	多日（带日）	同“好两日”。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
多时（带时）	多时（带时）	很长时间。例：我～勿曾碰到伊了。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
多手多脚	多手多脚	纠缠，乱插手。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
多说多话	多说多话	多讲，多嘴。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
多心思	多心思	①想法多。例：伊是一个～个人。②经常挂念着。例：侬勿要讲我～，儿子勒外头我哪能勿牵挂	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
多嘴	多嘴	①说不必要的话。②乱插话。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
掇	掇	两手捧起。例：～只小凳。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
掇船过堰	掇船过堰	原指将船抬过堰基，引申指敷衍，应付。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
喥头把戏	喥头把戏	傻头傻脑、不精明	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
喥头喥脑	喥头喥脑	傻里傻气的样子	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
踱头	踱头	傻瓜、呆子。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
踱脱哉	踱脱哉	老年痴呆。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
踱子	踱子	呆傻的人。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
朵	朵	~花。～白木耳。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
鹅藤藤草	鹅藤藤草	绿色攀藤开小白花的野草，叶嫩可食用。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
鹅掌风	鹅掌风	手癣。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
额角头	额角头	指运气好。例：春节联谊会抽奖活动，我～勒，抽到一等奖，拿着一只彩色电视机。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
额角头	额角头	前额。例：迭个小囡～高爽，福相。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
额角头碰着天花板	额角头碰着天花板	言额头高。形容运气极好。例：我真是～，买勒一张福利彩票，竟然中了大奖。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
厄咬	厄咬	打饱嗝。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
垩	垩	施肥。垩，读如“讹”。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
垩壅	垩壅	肥料。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
恶毒老虎	恶毒老虎	暗凶，阴险。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
恶掐	恶掐	同“促掐”。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
恶死做	恶死做	恶作剧。例：以前有个男生～，拿一只蛤蟆放到讲台浪吓女教师。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
恶心	恶心	因胃内不适欲呕吐。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
恶形	恶形	丑态。例：迭个人喜欢动手动脚，~得来。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
恶形恶状	恶形恶状	令人厌恶的言行。	[暂无]	[暂无]	太仓州嘉定片	嘉定	嘉定方言詞語彙集	true	jiading		自旧档汇入	2026-09-16T16:01:28+08:00
