vocabulary	originalEntry	explanation	example	pinYin	location	place	source	toggle	whichCounty	whichTown	note	updated_at
豪𢜶(豪𢜶)	毫少	赶快(趕快)	[暂无]	[暂无]	本沪小片	南汇·新港	新港镇志	true	nanhui	nanhui_xingang	自旧档汇入	2026-09-16T16:01:28+08:00
好白话(好白話)	好白話	易被说服、随和(易被說服、隨和)	[暂无]	[暂无]	本沪小片	南汇·新港	新港镇志	true	nanhui	nanhui_xingang	自旧档汇入	2026-09-16T16:01:28+08:00
好呒搭搭(好嘸搭搭)	好姆搭搭	突然间(突然間)	[暂无]	[暂无]	本沪小片	南汇·新港	新港镇志	true	nanhui	nanhui_xingang	自旧档汇入	2026-09-16T16:01:28+08:00
好户头(好戶頭)	好和頭	随和的人(隨和的人)	[暂无]	[暂无]	本沪小片	南汇·新港	新港镇志	true	nanhui	nanhui_xingang	自旧档汇入	2026-09-16T16:01:28+08:00
河涂基(河塗基)	河塗基	河岸边堆积河泥挖的潭(河岸邊堆積河泥挖的潭)	[暂无]	[暂无]	本沪小片	南汇·新港	新港镇志	true	nanhui	nanhui_xingang	自旧档汇入	2026-09-16T16:01:28+08:00
黑云耳(黑雲耳)	黑雲尼	黑木耳(黑木耳)	[暂无]	[暂无]	本沪小片	南汇·新港	新港镇志	true	nanhui	nanhui_xingang	自旧档汇入	2026-09-16T16:01:28+08:00
横刀、小尖(橫刀、小尖)	橫刀、小尖	镰刀(鐮刀)	[暂无]	[暂无]	本沪小片	南汇·新港	新港镇志	true	nanhui	nanhui_xingang	自旧档汇入	2026-09-16T16:01:28+08:00
猴极(猴極)	猴極	板脸(板臉)	[暂无]	[暂无]	本沪小片	南汇·新港	新港镇志	true	nanhui	nanhui_xingang	自旧档汇入	2026-09-16T16:01:28+08:00
吼筋搏跳(吼筋搏跳)	吼筋博跳	说话做事用力(說話做事用力)	[暂无]	[暂无]	本沪小片	南汇·新港	新港镇志	true	nanhui	nanhui_xingang	自旧档汇入	2026-09-16T16:01:28+08:00
后头枕(後頭枕)	後頭枕	后脑勺(後腦勺)	[暂无]	gheu deu tsen	本沪小片	南汇·新港	新港镇志	true	nanhui	nanhui_xingang	自旧档汇入	2026-09-16T16:01:28+08:00
