vocabulary	originalEntry	explanation	example	pinYin	location	place	source	toggle	whichCounty	whichTown	note	updated_at
狗皮倒糟(狗皮倒糟)	狗皮倒灶	吝啬(吝嗇)	[暂无]	[暂无]	华娄小片	奉贤·邬桥	邬桥续志	true	fengxian	fengxian_wuqiao	自旧档汇入	2026-09-16T16:01:28+08:00
够勿着(夠勿着)	夠不著	吃不消(吃不消)	[暂无]	[暂无]	华娄小片	奉贤·邬桥	邬桥续志	true	fengxian	fengxian_wuqiao	自旧档汇入	2026-09-16T16:01:28+08:00
鬼阵头风(鬼陣頭風)	鬼陣頭風	旋风(旋風)	[暂无]	[暂无]	华娄小片	奉贤·邬桥	邬桥续志	true	fengxian	fengxian_wuqiao	自旧档汇入	2026-09-16T16:01:28+08:00
蛤(蛤)	蛤	蟹(蟹)	[暂无]	[暂无]	华娄小片	奉贤·邬桥	邬桥续志	true	fengxian	fengxian_wuqiao	自旧档汇入	2026-09-16T16:01:28+08:00
蛤蛥(蛤蛥)	鴿多	雨蛙(雨蛙)	[暂无]	[暂无]	华娄小片	奉贤·邬桥	邬桥续志	true	fengxian	fengxian_wuqiao	自旧档汇入	2026-09-16T16:01:28+08:00
海威(海威)	海威	大、多(大、多)	[暂无]	[暂无]	华娄小片	奉贤·邬桥	邬桥续志	true	fengxian	fengxian_wuqiao	自旧档汇入	2026-09-16T16:01:28+08:00
寒场里(寒場裏)	寒場裏	冬天(冬天)	[暂无]	[暂无]	华娄小片	奉贤·邬桥	邬桥续志	true	fengxian	fengxian_wuqiao	自旧档汇入	2026-09-16T16:01:28+08:00
豪𢜶(豪𢜶)	毫梢	动作灵快(動作靈快)	[暂无]	[暂无]	华娄小片	奉贤·邬桥	邬桥续志	true	fengxian	fengxian_wuqiao	自旧档汇入	2026-09-16T16:01:28+08:00
豪𢜶头(豪𢜶頭)	毫梢頭	急性子(急性子)	[暂无]	[暂无]	华娄小片	奉贤·邬桥	邬桥续志	true	fengxian	fengxian_wuqiao	自旧档汇入	2026-09-16T16:01:28+08:00
何里去(何裏去)	阿裏去	哪里去(哪里去)	[暂无]	[暂无]	华娄小片	奉贤·邬桥	邬桥续志	true	fengxian	fengxian_wuqiao	自旧档汇入	2026-09-16T16:01:28+08:00
哄面孔(哄面孔)	哄面孔	接吻(接吻)	[暂无]	[暂无]	华娄小片	奉贤·邬桥	邬桥续志	true	fengxian	fengxian_wuqiao	自旧档汇入	2026-09-16T16:01:28+08:00
红花(紅花)	紅花	紫云英(紫雲英)	[暂无]	[暂无]	华娄小片	奉贤·邬桥	邬桥续志	true	fengxian	fengxian_wuqiao	自旧档汇入	2026-09-16T16:01:28+08:00
喉(喉)	喉	嘴馋(嘴饞)	[暂无]	[暂无]	华娄小片	奉贤·邬桥	邬桥续志	true	fengxian	fengxian_wuqiao	自旧档汇入	2026-09-16T16:01:28+08:00
后日(後日)	後日(niē)	后天(後天)	[暂无]	gheu gniq	华娄小片	奉贤·邬桥	邬桥续志	true	fengxian	fengxian_wuqiao	自旧档汇入	2026-09-16T16:01:28+08:00
后生家(後生家)	後生家	青年、小伙子(青年、小夥子)	[暂无]	gheu san ka	华娄小片	奉贤·邬桥	邬桥续志	true	fengxian	fengxian_wuqiao	自旧档汇入	2026-09-16T16:01:28+08:00
