㵾 U+3D7E
㶁 U+3D81
㶒 U+3D92
㶕 U+3D95
㶭 U+3DAD
㶿 U+3DBF
㷈 U+3DC8
㷟 U+3DDF
㷫 U+3DEB
㷰 U+3DF0
㸙 U+3E19
㸝 U+3E1D
㸠 U+3E20
㹂 U+3E42
㹙 U+3E59
㼑 U+3F11
㼭 U+3F2D
㼾 U+3F3E
㽂 U+3F42
㽘 U+3F58
㽱 U+3F71
㽹 U+3F79
㾈 U+3F88
㾋 U+3F8B
㾍 U+3F8D
㾔 U+3F94
㾘 U+3F98
㾦 U+3FA6
㾪 U+3FAA
㾭 U+3FAD
㾹 U+3FB9
㿀 U+3FC0
㿭 U+3FED
㿯 U+3FEF
㿱 U+3FF1
㿳 U+3FF3
㿷 U+3FF7
䀙 U+4019
䀨 U+4028
䀫 U+402B
䀰 U+4030
䀹 U+4039
䁝 U+405D
䁱 U+4071
䂐 U+4090
䂫 U+40AB
䂸 U+40B8
䂻 U+40BB
䃙 U+40D9
䃳 U+40F3
䅴 U+4174
䇫 U+41EB
䇲 U+41F2
䈆 U+4206
䈍 U+420D
䈬 U+422C
䈳 U+4233
䉕 U+4255
䉩 U+4269
䉬 U+426C
䉯 U+426F
䉱 U+4271
䊓 U+4293
䊵 U+42B5
䋎 U+42CE
䋓 U+42D3
䌟 U+431F
䏧 U+43E7
䐁 U+4401
䐥 U+4425
䐩 U+4429
䐬 U+442C
䐯 U+442F
䑙 U+4459
䓣 U+44E3
䕠 U+4560
䖆 U+4586
䗻 U+45FB
䘯 U+462F
䘵 U+4635
䙴 U+4674
䚭 U+46AD
䛀 U+46C0
䛟 U+46DF
䝻 U+477B
䝼 U+477C
䞁 U+4781
䞤 U+47A4
䞳 U+47B3
䞷 U+47B7
䟒 U+47D2
䟲 U+47F2
䟶 U+47F6
䟺 U+47FA
䟻 U+47FB
䟿 U+47FF
䠆 U+4806
䠊 U+480A
䠚 U+481A
䠡 U+4821
䠰 U+4830
䠷 U+4837
䥛 U+495B
䨹 U+4A39
䩍 U+4A4D
䪊 U+4A8A
䫌 U+4ACC
䫜 U+4ADC
䫲 U+4AF2
䬝 U+4B1D
䬵 U+4B35
䭁 U+4B41
䰉 U+4C09
䱀 U+4C40
䱗 U+4C57
䱻 U+4C7B
䲉 U+4C89
䳝 U+4CDD
䳸 U+4CF8
䵑 U+4D51
䵬 U+4D6C
䵶 U+4D76
䶎 U+4D8E
䶕 U+4D95
一 U+4E00
丁 U+4E01
七 U+4E03
万 U+4E07
丈 U+4E08
三 U+4E09
上 U+4E0A
下 U+4E0B
丌 U+4E0C
不 U+4E0D
与 U+4E0E
丐 U+4E10
丑 U+4E11
专 U+4E13
且 U+4E14
丕 U+4E15
世 U+4E16
丘 U+4E18
丙 U+4E19
业 U+4E1A
丛 U+4E1B
东 U+4E1C
丝 U+4E1D
丞 U+4E1E
丟 U+4E1F
丢 U+4E22
两 U+4E24
严 U+4E25
並 U+4E26
丧 U+4E27
丨 U+4E28
个 U+4E2A
丫 U+4E2B
丬 U+4E2C
中 U+4E2D
丰 U+4E30
丱 U+4E31
串 U+4E32
临 U+4E34
丸 U+4E38
丹 U+4E39
为 U+4E3A
主 U+4E3B
丽 U+4E3D
举 U+4E3E
乃 U+4E43
久 U+4E45
么 U+4E48
义 U+4E49
之 U+4E4B
乌 U+4E4C
乍 U+4E4D
乎 U+4E4E
乏 U+4E4F
乐 U+4E50
乒 U+4E52
乓 U+4E53
乔 U+4E54
乖 U+4E56
乘 U+4E58
乙 U+4E59
九 U+4E5D
乞 U+4E5E
也 U+4E5F
习 U+4E60
乡 U+4E61
书 U+4E66
乩 U+4E69
买 U+4E70
乱 U+4E71
乳 U+4E73
乾 U+4E7E
亂 U+4E82
了 U+4E86
予 U+4E88
争 U+4E89
事 U+4E8B
二 U+4E8C
亍 U+4E8D
于 U+4E8E
亏 U+4E8F
云 U+4E91
互 U+4E92
五 U+4E94
井 U+4E95
亘 U+4E98
亙 U+4E99
亚 U+4E9A
些 U+4E9B
亜 U+4E9C
亞 U+4E9E
亟 U+4E9F
亡 U+4EA1
亢 U+4EA2
交 U+4EA4
亥 U+4EA5
亦 U+4EA6
产 U+4EA7
亨 U+4EA8
亩 U+4EA9
享 U+4EAB
京 U+4EAC
亭 U+4EAD
亮 U+4EAE
亲 U+4EB2
亳 U+4EB3
亵 U+4EB5
亶 U+4EB6
人 U+4EBA
亻 U+4EBB
亿 U+4EBF
什 U+4EC0
仁 U+4EC1
仂 U+4EC2
仃 U+4EC3
仄 U+4EC4
仅 U+4EC5
仆 U+4EC6
仇 U+4EC7
今 U+4ECA
介 U+4ECB
仍 U+4ECD
从 U+4ECE
仑 U+4ED1
仓 U+4ED3
仔 U+4ED4
仕 U+4ED5
他 U+4ED6
仗 U+4ED7
付 U+4ED8
仙 U+4ED9
仚 U+4EDA
仞 U+4EDE
仟 U+4EDF
代 U+4EE3
令 U+4EE4
以 U+4EE5
