vocabulary,originalEntry,explanation,example,pinYin,location,place,source
□(□),[原写法即现写法],系：保险带~个~好。（系：保險帶~個~好。）,[暂无],pae (ɓɛ³⁵ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],出手阔气，不心疼。（出手闊氣，不心疼。）,[暂无],phaon (pʰɑ̃⁵³),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],排斥：两家头碰着著，要~脱嗰| 悬脚~手。（排斥：两家頭碰着著，要~脱嗰 | 懸腳~手。）,[暂无],sa (sa³⁵),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],揭：盖头~开来。|| 又音hɪʔ⁵。（揭：蓋頭~開來。 || 又音hɪʔ⁵。）,[暂无],shiq (ɕiɪʔ⁵ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],裤子等没有束紧，拖在地上。又音tʰu³⁵。（褲子等沒有束緊，拖在地上。又音tʰu³⁵。）,[暂无],thoe (tʰø³⁵),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],〈动〉裤子等没有束紧，拖在地上。又音tʰø³⁵。（〈動〉褲子等沒有束緊，拖在地上。又音tʰø³⁵。）,[暂无],thu (tʰu³⁵ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],倒，推：拿一面盆水朝下水道里向一~。（倒，推：拿一面盆水朝下水道裏向一~。）,[暂无],tshae (tsʰɛ⁵³ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],掺，混：茶烫勿过，~眼冷水壗。（摻，混：茶燙勿過，~眼冷水壗。）,[暂无],tshian (tɕʰiã⁵³ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],挤：恶垃臀肛吓墩~法~法。（擠：惡垃臀肛嚇墩~法~法。）,[暂无],tsy (tsɿ⁵³),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],〈名〉镰刀。（〈名〉鐮刀。）,[暂无],van (vã²² ),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],语气词，意思是“我说得是吧”：㑚娘待侬好喽，~！（語氣詞，意思是“我說得是吧”：㑚娘待儂好嘍，~！）,[暂无],vau (vɔ⁵³),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],（东西）套在手臂上。（（東西）套在手臂上。）,[暂无],zau (zɔ²² ),本沪小片,嘉定·真如,真如吴语词语整理稿
□□(□□),[原写法即现写法],〈名〉新词汇，对英语“ipad”的音译。（〈名〉新詞彙，對英語“ipad”的音譯。）,[暂无],ae phae (ɛ⁵⁵ pʰɛ²¹),本沪小片,嘉定·真如,真如吴语词语整理稿
□□(□□),[原写法即现写法],对不对：我讲垃嗰有道理嗰，~。（對不對：我講垃嗰有道理嗰，~。）,[暂无],aoq vaoq (ɔʔ⁵⁵ vɔʔ²¹),本沪小片,嘉定·真如,真如吴语词语整理稿
□□(□□),[原写法即现写法],慢条斯理。（慢條斯理。）,[暂无],chi chian (tɕʰi⁵⁵ tɕʰiã²¹),本沪小片,嘉定·真如,真如吴语词语整理稿
□□(□□),[原写法即现写法],〈童〉睡觉。（〈童〉睡覺。）,[暂无],gu gu (gu²² gu³⁵),本沪小片,嘉定·真如,真如吴语词语整理稿
