vocabulary,originalEntry,explanation,example,pinYin,location,place,source
痴天不赖(癡天不賴),[原写法即现写法],疯疯癫癫的样子。（瘋瘋癲癲的樣子。）,[暂无],tshy⁵⁵ thi³³ peq³ la³¹(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
痴天不赖(癡天不賴),[原写法即现写法],发疯似的（發瘋似的）,[暂无],tshy⁵⁵ thi³³ peq³ la³¹(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
痴天拉(癡天拉),癡天拉,疯疯癫癫（瘋瘋癲癲）,[暂无],拼音暂无(IPA暂无),泖西小片,青浦·金泽,金泽志
痴头怪脑(癡頭怪腦),[原写法即现写法],tsʰɿ⁵⁵ dɤ⁵⁵ kua³³ nɔ²¹ 言行过于疯痴。（tsʰɿ⁵⁵ dɤ⁵⁵ kua³³ nɔ²¹ 言行過於瘋癡。）,[暂无],tshy deu kua nau (IPA暂无),本沪小片,嘉定·真如,真如吴语词语整理稿
痴头怪脑(癡頭怪腦),[原写法即现写法],疯疯癫癫：小姑娘末应该文静点介，啥人像侬一日到夜~。（《上海方言词典》） （瘋瘋癲癲：小姑娘末應該文靜點介，啥人像儂一日到夜~。（《上海方言詞典》））,[暂无],tsʰɿ⁵⁵ dɤ⁵⁵ kuα³³ nɔ²¹(IPA暂无),本沪小片,上海·南市,上海方言词典
痴头怪脑(癡頭怪腦),[原写法即现写法],疯疯癫癫。（瘋瘋癲癲。）,[暂无],拼音暂无(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
痴头怪脑(癡頭怪腦),癡頭怪腦,疯疯癫癫（瘋瘋癲癲）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志
痴头怪脑(癡頭怪腦),癡頭怪腦,不稳重（不穩重）,[暂无],拼音暂无(IPA暂无),本沪小片,川沙·六里,六里镇志
痴头怪脑(癡頭怪腦),癡頭怪腦,"疯疯癫癫,也称痴天八拉（瘋瘋癲癲,也稱癡天八拉）",[暂无],拼音暂无(IPA暂无),华娄小片,松江·九亭,九亭镇志
痴头怪脑(癡頭怪腦),癡頭怪腦,疯癫（瘋癲）,[暂无],拼音暂无(IPA暂无),华娄小片,青浦·环城,环城志
痴头怪脑(癡頭怪腦),癡頭怪腦,疯疯癫癫（瘋瘋癲癲）,[暂无],拼音暂无(IPA暂无),本沪小片,宝山·淞南,淞南镇志
痴头怪脑(癡頭怪腦),癡頭怪腦,疯疯颠颠。（瘋瘋顛顛。）,[暂无],拼音暂无(IPA暂无),嘉定片,宝山·刘行,刘行镇志
痴头怪脑(癡頭怪腦),癡頭怪腦,186-186,[暂无],拼音暂无(IPA暂无),本沪小片,川沙,浦东老闲话
痴子(癡子),[原写法即现写法],患严重精神病的人。同【疯子】。（《上海方言词典》） （患嚴重精神病的人。同【瘋子】。（《上海方言詞典》））,[暂无],tsʰɿ⁵⁵ tsɿ²¹(IPA暂无),本沪小片,上海·南市,上海方言词典
痴子(癡子),[原写法即现写法],疯子、精神病患者。（瘋子、精神病患者。）,[暂无],拼音暂无(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
痴子(癡子),癡子,疯人（瘋人）,[暂无],拼音暂无(IPA暂无),本沪小片,南汇·三灶,三灶镇志
痴子(癡子),癡子,疯子（瘋子）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志
痴子(癡子),癡子,严重的精神病患者（嚴重的精神病患者）,[暂无],拼音暂无(IPA暂无),本沪小片,川沙·高东,高东镇志
痴子(癡子),癡子,精神病人（精神病人）,[暂无],拼音暂无(IPA暂无),本沪小片,宝山·大场,大场镇志
痴子(癡子),癡子,当地人对于精神病患者的俗称。（當地人對於精神病患者的俗稱。）,[暂无],拼音暂无(IPA暂无),商榻片,青浦·商榻,雪米村民俗志
痴子(癡子),癡子,疯子（瘋子）,[暂无],拼音暂无(IPA暂无),华娄小片,松江·九亭,九亭镇志
痴子(癡子),癡子,[病痛医疗]疯子（[病痛 醫療]瘋子）,[已于释义中声明],拼音暂无(IPA暂无),嘉定片,嘉定,嘉定方言研究
痴子、神经病(癡子、神經病),癡子、神經病,病人（病人）,[暂无],拼音暂无(IPA暂无),嘉定片,宝山·葑塘,蛮洞生产队纪念册
痴子八拉(癡子八拉),癡子八拉,疯疯癫癫（瘋瘋癲癲）,[暂无],拼音暂无(IPA暂无),泖西小片,青浦·蒸淀,蒸淀志
痴子望天塌，穷人望乱来(癡子望天塌，窮人望亂來),[原写法即现写法],[空] （[空]）,[暂无],拼音暂无(IPA暂无),华娄小片,奉贤·西渡,西渡镇【散记】
痴子望天坍，穷人望反来(癡子望天坍，窮人望反來),[原写法即现写法],[空] （[空]）,[暂无],拼音暂无(IPA暂无),华娄小片,松江·天马山,天马山镇【散记】
痴子望天瘫(癡子望天癱),[原写法即现写法],[空] （[空]）,[暂无],拼音暂无(IPA暂无),本沪小片,上海·三林,三林镇【散记】
池潭(池潭),[原写法即现写法],[地理]池塘。青浦（[地理]池塘。青浦）,[暂无],zy¹³ de²¹(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
池塘(池塘),[原写法即现写法],[地理] （[地理]）,[暂无],zy¹³ daon⁵³(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
池塘(池塘),[原写法即现写法],蓄水的坑，一般不大，比较浅。同【水塘】、【塘】。（《上海方言词典》） （蓄水的坑，一般不大，比較淺。同【水塘】、【塘】。（《上海方言詞典》））,[暂无],zɿ¹¹ dɑ̃³³(IPA暂无),本沪小片,上海·南市,上海方言词典
迟(遲),[原写法即现写法],[空] （[空]）,[暂无],zy³¹(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
迟(遲),[原写法即现写法],①晚于某一时间：~到；②慢：~~勿肯动身。（《上海方言词典》） （①晚於某一時間：~到；②慢：~~勿肯動身。（《上海方言詞典》））,[暂无],zɿ¹³(IPA暂无),本沪小片,上海·南市,上海方言词典
迟咚咚(遲咚咚),遲咚咚,迟（遲）,[暂无],拼音暂无(IPA暂无),泖西小片,青浦·蒸淀,蒸淀志
迟来吃厚粥(遲來吃厚粥),[原写法即现写法],后来的反而占便宜，后来者居上（後來的反而佔便宜，後來者居上）,[暂无],zy¹³ lae⁵³ chieq³ gheu⁵⁵ tsoq⁵³(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
迟笋(遲筍),[原写法即现写法],[植物]同【晚笋】。（[植物]同【晚筍】。）,[暂无],zy²² sen⁴⁴(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
迟笋(遲筍),[原写法即现写法],谷雨、立夏之间的笋，味鲜美，可以做菜，也叫【晚笋】。（《上海方言词典》） （穀雨、立夏之間的筍，味鮮美，可以做菜，也叫【晚筍】。（《上海方言詞典》））,[暂无],zɿ¹¹ səŋ⁵³(IPA暂无),本沪小片,上海·南市,上海方言词典
迟头(遲頭),遲頭,锄头（鋤頭）,[暂无],拼音暂无(IPA暂无),华娄小片,奉贤·胡桥,胡桥续志
迟头(遲頭),遲頭,锄头（鋤頭）,[暂无],拼音暂无(IPA暂无),华娄小片,奉贤·邬桥,邬桥续志
迟头(遲頭),遲頭,锄头（鋤頭）,[暂无],拼音暂无(IPA暂无),华娄小片,奉贤·钱桥,钱桥续志
迟头(遲頭),遲頭,锄头（鋤頭）,[暂无],拼音暂无(IPA暂无),华娄小片,奉贤·邬桥,邬桥志
迟头(遲頭),遲頭,锄头（鋤頭）,[暂无],拼音暂无(IPA暂无),华娄小片,奉贤·新寺,新寺志
迟头(遲頭),遲頭,锄头（鋤頭）,[暂无],拼音暂无(IPA暂无),华娄小片,奉贤·新寺,新塘村志
尺(尺),[原写法即现写法], [空] （[空]）,[暂无],tshaq⁴(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
尺(尺),尺,[房屋器具] （[房屋 器具]）,[已于释义中声明],拼音暂无(IPA暂无),嘉定片,嘉定,嘉定方言研究
尺(尺),尺,[文化教育] （[文化教育]）,[已于释义中声明],拼音暂无(IPA暂无),嘉定片,嘉定,嘉定方言研究
尺寸(尺寸),[原写法即现写法],tsʰæʔ⁵⁵ tsʰəŋ⁵⁵ ①东西的长短大小。②尺度和分寸：吃饭覅没~。（tsʰæʔ⁵⁵ tsʰəŋ⁵⁵ ①東西的長短大小。②尺度和分寸：吃飯覅沒~。）,[暂无],tshaeq tshen (IPA暂无),本沪小片,嘉定·真如,真如吴语词语整理稿
尺寸(尺寸),尺寸,数目。（數目。）,[暂无],拼音暂无(IPA暂无),本沪小片,宝山·五角场,五角场乡志
尺盆(尺盆),[原写法即现写法],直径一尺的瓷盆，多为婚丧喜事用。（直徑一尺的瓷盆，多爲婚喪喜事用。）,[暂无],tshaq⁴ ben⁵³(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
尺盆(尺盆),尺盆,大号瓷盆（大號瓷盆）,[暂无],拼音暂无(IPA暂无),华娄小片,松江·石湖荡,石湖荡镇志
尺盆(尺盆),尺盆,特大瓷盆（特大瓷盆）,[暂无],拼音暂无(IPA暂无),华娄小片,金山·亭林,亭新乡志
尺盆(尺盆),尺盆,特大的瓷盆。（特大的瓷盆。）,[暂无],拼音暂无(IPA暂无),华娄小片,松江·五里塘,茸北镇志
尺盆(尺盆),尺盆,大号瓷盆（大號瓷盆）,[暂无],拼音暂无(IPA暂无),华娄小片,松江·仓桥,永丰街道志
尺盆(尺盆),尺盆,[房屋器具] （[房屋 器具]）,[已于释义中声明],拼音暂无(IPA暂无),嘉定片,嘉定,嘉定方言研究
尺梢(尺梢),[原写法即现写法],尺寸。（尺寸。）,[暂无],拼音暂无(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
尺梢(尺梢),尺梢,丈量深浅度时露出的尺子的末梢。此句常用于指某人的胸怀城府的深浅程度。（丈量深淺度時露出的尺子的末梢。此句常用於指某人的胸懷城府的深淺程度。）,[暂无],拼音暂无(IPA暂无),商榻片,青浦·商榻,雪米村民俗志
尺梢(尺梢),尺梢,尺寸（尺寸）,[暂无],拼音暂无(IPA暂无),华娄小片,奉贤·江海,树园村志
拸(拸),[原写法即现写法],叠加：《集韵》上声哿韵待可切：加也。俗写作“驮”。（疊加：《集韻》上聲哿韻待可切：加也。俗寫作“馱”。）,箇隻碗～上去。,du²²(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤白地皮光(赤白地皮光),赤白地皮光,[熟语]地上干净（[熟语]地上乾淨）,[已于释义中声明],拼音暂无(IPA暂无),嘉定片,嘉定,嘉定方言研究
赤鼻头(赤鼻頭),[原写法即现写法],[身体]酒糟鼻子。（[身體]酒糟鼻子。）,[暂无],tshaq³ beq⁵ deu⁵³(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤鼻头(赤鼻頭),赤鼻頭,[身体]酒糟鼻（[身體]酒糟鼻）,[暂无],拼音暂无(IPA暂无),华娄小片,金山,金山县志
赤膊(赤膊),[原写法即现写法],tsʰæʔ⁵⁵ ɓoʔ⁵⁵ 裸露上身。（tsʰæʔ⁵⁵ ɓoʔ⁵⁵ 裸露上身。）,[暂无],tshaeq poq (IPA暂无),本沪小片,嘉定·真如,真如吴语词语整理稿
赤膊(赤膊),[原写法即现写法],[空] （[空]）,[暂无],拼音暂无(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤膊(赤膊),[原写法即现写法],[空] （[空]）,[暂无],拼音暂无(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤膊(赤膊),赤膊,[身体]光著上身（[身體]光著上身）,[已于释义中声明],拼音暂无(IPA暂无),嘉定片,嘉定,嘉定方言研究
赤膊背心(赤膊背心),赤膊背心,汗背心（汗背心）,[暂无],拼音暂无(IPA暂无),华娄小片,松江·石湖荡,石湖荡镇志
赤膊背心(赤膊背心),赤膊背心,汗背心（汗背心）,[暂无],拼音暂无(IPA暂无),华娄小片,松江·仓桥,永丰街道志
赤膊船(赤膊船),[原写法即现写法],同【摊船】 （同【攤船】）,[暂无],tshaq³ poq⁵ ze⁵³(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤膊等衣干(赤膊等衣乾),[原写法即现写法],喻仅有一件东西，等著要用（喻僅有一件東西，等著要用）,[暂无],tshaq⁴ poq⁴ ten³³ i⁵⁵ koe³¹(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤膊工资(赤膊工資),赤膊工資,只有工资，没有奖金等其他收入（只有工資，沒有獎金等其他收入）,[暂无],拼音暂无(IPA暂无),本沪小片,上海·鲁汇,鲁汇镇志
赤膊工资(赤膊工資),赤膊工資,只有工资无奖金之类收入（只有工資無獎金之類收入）,[暂无],拼音暂无(IPA暂无),华娄小片,奉贤·青村,青村续志
赤膊汗衫(赤膊汗衫),赤膊汗衫,背心（背心）,[暂无],拼音暂无(IPA暂无),华娄小片,青浦·香花桥,香花桥志
赤膊鸡(赤膊雞),[原写法即现写法],[动物]羽毛未长全的雏鸡。（[動物]羽毛未長全的雛雞。）,[暂无],tshaq³ poq⁵ ci⁵³(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤膊睏(赤膊睏),[原写法即现写法],赤膊睡觉。（赤膊睡覺。）,[暂无],拼音暂无(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤膊戏(赤膊戲),[原写法即现写法],杂技表演。（雜技表演。）,[暂无],拼音暂无(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤膊戏(赤膊戲),赤膊戲,杂技表演；（喻）做事出洋相无法收场（雜技表演；（喻）做事出洋相無法收場）,[暂无],拼音暂无(IPA暂无),本沪小片,川沙·张江,张江镇志
赤膊戏(赤膊戲),赤膊戲,杂技表演（雜技表演）,[暂无],拼音暂无(IPA暂无),本沪小片,川沙·金桥,金桥镇志
赤膊扎领带(赤膊紮領帶),赤膊紮領帶,不合时宜（不合時宜）,[暂无],拼音暂无(IPA暂无),华娄小片,奉贤·青村,青村续志
赤蛋(赤蛋),赤蛋,生蛋（生蛋）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志
赤豆(赤豆),[原写法即现写法],tsʰæʔ⁵⁵ dɤ⁵⁵ 红豆。（tsʰæʔ⁵⁵ dɤ⁵⁵ 紅豆。）,[暂无],tshaeq deu (IPA暂无),本沪小片,嘉定·真如,真如吴语词语整理稿
赤豆(赤豆),[原写法即现写法],[植物] （[植物]）,[暂无],tshaq³³ deu³⁴(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤豆(赤豆),赤豆,[植物]红小豆儿（[植物]紅小豆兒）,[已于释义中声明],拼音暂无(IPA暂无),嘉定片,嘉定,嘉定方言研究
赤豆虫(赤豆蟲),[原写法即现写法],毛辣子。嘉定说法。（毛辣子。嘉定說法。）,[暂无],拼音暂无(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤豆糕(赤豆糕),[原写法即现写法],[饮食]赤豆煮烂后加压制成的糕点。（[飲食]赤豆煮爛後加壓製成的糕點。）,[暂无],拼音暂无(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤豆糕(赤豆糕),赤豆糕,赤豆煮烂后加压制成的糕点。（赤豆煮爛後加壓製成的糕點。）,[暂无],拼音暂无(IPA暂无),华娄小片,松江·新桥,新桥镇志
赤豆糕(赤豆糕),赤豆糕,[饮食]掺有少量赤豆的糯米糕（[飲食]摻有少量赤豆的糯米糕）,[已于释义中声明],拼音暂无(IPA暂无),嘉定片,嘉定,嘉定方言研究
赤豆汤(赤豆湯),[原写法即现写法],[饮食] （[飲食]）,[暂无],tshaq³ deu⁵⁵ thaon⁵³(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤豆粥(赤豆粥),[原写法即现写法],[饮食] （[飲食]）,[暂无],tshaq³ deu⁵⁵ tsoq³¹(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤短寿(赤短壽),[原写法即现写法],tsʰəʔ⁵⁵ ɗø⁵⁵ zɤ⁵⁵ 骂人的话。（tsʰəʔ⁵⁵ ɗø⁵⁵ zɤ⁵⁵ 罵人的話。）,[暂无],tsheq toe zeu (IPA暂无),本沪小片,嘉定·真如,真如吴语词语整理稿
赤短寿命(赤短壽命),[原写法即现写法],tsʰəʔ²² ɗø⁵⁵ zɤ³³ miŋ²¹ 骂人的话。（tsʰəʔ²² ɗø⁵⁵ zɤ³³ miŋ²¹ 罵人的話。）,[暂无],tsheq toe zeu min (IPA暂无),本沪小片,嘉定·真如,真如吴语词语整理稿
赤恭(赤恭),赤恭,完蛋（完蛋）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志
赤骨淋(赤骨淋),[原写法即现写法],赤膊（赤膊）,[暂无],拼音暂无(IPA暂无),嘉定片,嘉定·娄塘,娄塘镇志
赤骨落(赤骨落),赤骨落,[身体]全裸（[身體]全裸）,[已于释义中声明],拼音暂无(IPA暂无),嘉定片,嘉定,嘉定方言研究
赤刮(赤刮),拆呱,完美（完美）,[暂无],拼音暂无(IPA暂无),华娄小片,奉贤·新寺,新寺志
赤刮(赤刮),赤呱,崭新（嶄新）,[暂无],拼音暂无(IPA暂无),华娄小片,奉贤·胡桥,胡桥志
赤刮(赤刮),赤括,好（好）,[暂无],拼音暂无(IPA暂无),华娄小片,奉贤·奉城,奉城志
赤刮(赤刮),[原写法即现写法],出色。（出色。）,[暂无],拼音暂无(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤刮拉(赤刮拉),赤呱垃,[形容词]形容某物崭新，好。（[形容詞]形容某物嶄新，好。）,[暂无],tshaq⁴ kuaq⁴ laq⁴(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤刮拉(赤刮拉),赤呱垃, 非常（非常）,[暂无],tshaq⁴ kuaq⁴ laq⁴(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤刮拉(赤刮拉),赤呱拉,事物崭新（事物嶄新）,[暂无],拼音暂无(IPA暂无),本沪小片,川沙·凌桥,凌桥村志
赤刮拉(赤刮拉),赤呱啦,很新、很漂亮（很新、很漂亮）,[暂无],拼音暂无(IPA暂无),本沪小片,川沙·张江,张江镇志
赤刮拉(赤刮拉),赤呱啦,很新（很新）,[暂无],拼音暂无(IPA暂无),本沪小片,川沙·金桥,金桥镇志
赤刮拉(赤刮拉),赤刮拉,崭新的副词:赤刮拉新（嶄新的副詞:赤刮拉新）,[暂无],拼音暂无(IPA暂无),华娄小片,松江·九亭,九亭镇志
赤刮拉(赤刮拉),赤刮勒,崭新（嶄新）,[暂无],拼音暂无(IPA暂无),本沪小片,宝山·庙行,庙行镇志
赤刮拉(赤刮拉),赤呱拉,88-88,[暂无],拼音暂无(IPA暂无),本沪小片,川沙,浦东老闲话
赤刮拉日头(赤刮拉日頭),尺呱拉日頭,大晴天，特指太阳旺（大晴天，特指太陽旺）,[暂无],拼音暂无(IPA暂无),华娄小片,金山·朱行,保卫村志
赤刮拉旺日头(赤刮拉旺日頭),尺呱啦旺日頭,晴天（晴天）,[暂无],拼音暂无(IPA暂无),本沪小片,南汇·万祥,万祥镇志
赤刮拉旺日头(赤刮拉旺日頭),出格啦旺日頭,大晴天（大晴天）,[暂无],拼音暂无(IPA暂无),泖西小片,松江·新浜,新浜镇志
赤刮拉新(赤刮拉新),拆呱拉新,全新的（全新的）,[暂无],拼音暂无(IPA暂无),华娄小片,奉贤·塘外,盐行村志
赤刮拉新(赤刮拉新),[原写法即现写法],[形容词]很新。（[形容詞]很新。）,[暂无],tshaq³ kuaq⁵ laq³ sin⁵³(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤刮拉新(赤刮拉新),赤刮辣新,崭新（嶄新）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志
赤刮全新(赤刮全新),赤刮全新,物品很新（物品很新）,[暂无],拼音暂无(IPA暂无),华娄小片,金山·朱行,保卫村志
赤刮旺日头(赤刮旺日頭),尺呱旺日頭,晴天（晴天）,[暂无],拼音暂无(IPA暂无),华娄小片,奉贤·泰日,泰日志
赤刮旺日头(赤刮旺日頭),尺呱旺日頭,晴天（晴天）,[暂无],拼音暂无(IPA暂无),本沪小片,奉贤·四团,四团志
赤刮旺日头(赤刮旺日頭),尺呱巷日頭,晴天（晴天）,[暂无],拼音暂无(IPA暂无),华娄小片,金山·干巷,干巷乡志
赤刮旺日头(赤刮旺日頭),尺呱陽業頭,大晴天（大晴天）,[暂无],拼音暂无(IPA暂无),华娄小片,奉贤·塘外,盐行村志
赤刮旺日头(赤刮旺日頭),尺刮旺熱頭,晴天（晴天）,[暂无],拼音暂无(IPA暂无),本沪小片,奉贤·四团,四团续志
赤刮旺日头(赤刮旺日頭),尺括旺日頭,晴天（晴天）,[暂无],拼音暂无(IPA暂无),华娄小片,奉贤·塘外,塘外续志
赤刮旺日头(赤刮旺日頭),尺刮旺日頭,晴天（晴天）,[暂无],拼音暂无(IPA暂无),华娄小片,金山·新农,新农志志
赤刮旺日头(赤刮旺日頭),赤呱旺日頭,晴天（晴天）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·颛桥,颛桥志
赤刮旺日头(赤刮旺日頭),赤呱旺日頭,晴天（晴天）,[暂无],拼音暂无(IPA暂无),本沪小片,南汇·书院,书院镇志
赤刮旺日头(赤刮旺日頭),尺呱旺日頭,大晴天（大晴天）,[暂无],拼音暂无(IPA暂无),华娄小片,金山·朱行,朱行乡志志
赤刮旺日头(赤刮旺日頭),尺呱旺熱頭,晴天（晴天）,[暂无],拼音暂无(IPA暂无),华娄小片,奉贤·洪庙,洪庙镇志
赤刮旺日头(赤刮旺日頭),尺呱用日頭,晴天（晴天）,[暂无],拼音暂无(IPA暂无),华娄小片,金山·吕巷,马新村志
赤刮旺日头(赤刮旺日頭),尺刮旺日頭,晴天（晴天）,[暂无],拼音暂无(IPA暂无),华娄小片,金山·新农,温河村志
赤刮旺日头(赤刮旺日頭),尺刮旺熱頭,晴天。（晴天。）,[暂无],拼音暂无(IPA暂无),华娄小片,金山·新农,长浜村志
赤刮旺日子(赤刮旺日子),尺呱旺日子,大晴天（大晴天）,[暂无],拼音暂无(IPA暂无),华娄小片,金山·朱行,保卫村志
赤刮新(赤刮新),[原写法即现写法],[形容词]形容全新，崭新。（[形容詞]形容全新，嶄新。）,[暂无],拼音暂无(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤刮新(赤刮新),赤刮新,全新、崭新。（全新、嶄新。）,[暂无],拼音暂无(IPA暂无),本沪小片,川沙·江镇-施湾,机场镇志
赤刮新(赤刮新),赤刮新,全新、崭新（全新、嶄新）,[暂无],拼音暂无(IPA暂无),本沪小片,川沙·凌桥,凌桥村志
赤刮新(赤刮新),赤刮新,全新、崭新（全新、嶄新）,[暂无],拼音暂无(IPA暂无),本沪小片,南汇·祝桥,陈胡村志
赤刮新(赤刮新),赤刮新,84-84,[暂无],拼音暂无(IPA暂无),本沪小片,川沙,浦东老闲话
赤刮锃亮(赤刮鋥亮),[原写法即现写法],[形容词]鋥亮。（[形容詞]鋥亮。）,[暂无],tshaq³ kuaq³ zan³³ lian³⁴(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤汉郎(赤漢郎),骷郎頭、赤漢郎,头（頭）,[暂无],拼音暂无(IPA暂无),本沪小片,南汇·新港,新港镇志
赤脚(赤腳),[原写法即现写法],tsʰæʔ⁵⁵ tɕiæʔ⁵⁵ 光脚。（tsʰæʔ⁵⁵ tɕiæʔ⁵⁵ 光腳。）,[暂无],tshaeq ciaeq (IPA暂无),本沪小片,嘉定·真如,真如吴语词语整理稿
赤脚(赤腳),[原写法即现写法],光脚。（光腳。）,[暂无],tshaq⁴ ciaq⁴(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤脚(赤腳),赤腳,光脚；输光（光腳；輸光）,[暂无],拼音暂无(IPA暂无),本沪小片,上海·梅陇,陇西志
赤脚(赤腳),赤腳,光脚（光腳）,[暂无],拼音暂无(IPA暂无),本沪小片,上海·鲁汇,鲁汇镇志
赤脚(赤腳),赤腳,光脚（光腳）,[暂无],拼音暂无(IPA暂无),本沪小片,上海·龙华,龙华志
赤脚(赤腳),赤腳,[身体] （[身體]）,[已于释义中声明],拼音暂无(IPA暂无),嘉定片,嘉定,嘉定方言研究
赤脚(赤腳),赤腳,光脚（光腳）,[暂无],拼音暂无(IPA暂无),,上海县,上海县志
赤脚大仙(赤腳大仙),赤腳大仙,[迷信]光著脚的神（[迷信]光著腳的神）,[已于释义中声明],拼音暂无(IPA暂无),嘉定片,嘉定,嘉定方言研究
赤脚地皮光(赤腳地皮光),[原写法即现写法],吃光用光。（吃光用光。）,[暂无],tshaq⁴ cia⁴ di²² bi²² kuaon²²(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤脚地皮光(赤腳地皮光),[原写法即现写法],一无所有（一無所有）,[暂无],tshaq⁴ cia⁴ di²² bi²² kuaon²²(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤脚地皮光(赤腳地皮光),赤腳地皮光,穷极（窮極）,[暂无],拼音暂无(IPA暂无),本沪小片,上海·梅陇,陇西志
赤脚地皮光(赤腳地皮光),赤腳地皮光,吃光、用光（吃光、用光）,[暂无],拼音暂无(IPA暂无),华娄小片,金山·朱泾,朱泾乡志
赤脚地皮光(赤腳地皮光),赤腳地皮光,[习惯用语]吃光，用光（[習慣用語]吃光，用光）,[暂无],拼音暂无(IPA暂无),华娄小片,金山,金山县志
赤脚伶仃(赤腳伶仃),赤腳零丁,光脚、可怜相（光腳、可憐相）,[暂无],拼音暂无(IPA暂无),本沪小片,南汇·老港,老港镇志
赤脚伶仃(赤腳伶仃),赤腳零丁,光脚、可怜相（光腳、可憐相）,[暂无],拼音暂无(IPA暂无),本沪小片,奉贤·平安,平安续志
赤脚伶仃天养人(赤腳伶仃天養人),[原写法即现写法],孤苦伶仃的孩子，只能靠老天怜悯（孤苦伶仃的孩子，只能靠老天憐憫）,[暂无],tshaq³ ciaq⁵ lin⁵⁵ tin³¹ thi⁵⁵ yan³³ gnin³¹(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤脚露胖(赤腳露胖),赤腳露胖,赤脚裤卷起（赤腳褲卷起）,[暂无],拼音暂无(IPA暂无),嘉定片,宝山·杨行,杨行镇志
赤脚人(赤腳人),[原写法即现写法],[人品职业]农民。（[人品職業]農民。）,[暂无],tshaq³ ciaq⁵ gnin⁵³(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤脚医生(赤腳醫生),[原写法即现写法],tsʰæʔ²² tɕiæʔ⁵⁵ i⁵⁵ sã⁵³ （tsʰæʔ²² tɕiæʔ⁵⁵ i⁵⁵ sã⁵³ ）,[暂无],tshaeq ciaeq i san (IPA暂无),本沪小片,嘉定·真如,真如吴语词语整理稿
赤空(赤空),赤空,完蛋（完蛋）,[暂无],拼音暂无(IPA暂无),本沪小片,上海·北新泾,北新泾镇志
赤老浜(赤老浜),赤老浜,事实被戳穿（事實被戳穿）,[暂无],拼音暂无(IPA暂无),华娄小片,金山·亭林,亭林镇志
赤佬(赤佬),[原写法即现写法],①骂人，贬义。（①罵人，貶義。）,[暂无],tsheq³ lau⁴⁴(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
赤佬(赤佬),[原写法即现写法],[风俗]②迷信说法，指鬼。（[風俗]②迷信說法，指鬼。）,[暂无],tsheq³ lau⁴⁴(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
