【黄梅天(气)】,【黄梅天(气)】,whangmetiqi/whangmeiti,ɦuɑ̃ mᴇ tʰi tɕʰi /ɦuɑ̃ mᴇ i tʰi ,黄梅天(气),waon22 me55 thi33 chi21
【干黄梅】,【干黄梅】,°goewhangme,’kø ɦuɑ̃ mᴇ ,〈名〉不下雨而不潮湿的黄梅天：今年是～，所以物事勿霉。,koe55 waon33 me21
【倒黄梅】,【倒黄梅】,daowhangme,tɔ ɦuɑ̃ mᴇ ,小暑以后延续多雨的黄梅天气。,tau33 waon55 me21
【秋老虎】,【秋老虎】,°qiulaohu,’tɕʰiɤ lɔ hu ,〈名〉入秋后仍然很热的天气。,chieu55 lau33 hu21
【秋气】,【秋气】,°qiuqi,’tɕʰiɤ tɕʰi ,〈名〉秋天萧杀之气：～重了，叶落满地。,chieu33 chi44
【麦秀寒】,【麦秀寒】,makxiuhhoe,mᴀʔ ɕiɤ ɦø ,麦抽穗时天转冷。,maq1 shieu22 ghoe23
【寒冬腊月】,【寒冬腊月】,hhoedonglakyhuik/hhoedong lakyhuik,ɦø toŋ lᴀʔ ɦyʔ /ɦø toŋ lᴀʔ ɦyʔ ,寒冬腊月,ghoe22 ton55 laq3 yuq21
【瀊水】,【瀊水】,bhoe shy,bø zɿ ,水洄溢而出。一般指大雨后积水时从阴沟洞中向外回旋涨出水来。◇瀊：《集韵》平声桓韵蒲官切：“瀊，水洄也。”,boe22 sy44
【户荡】,【户荡】,whudhang,ɦu dɑ̃ ,〈名〉﹝旧﹞地方：啥～(什么地方)。◇又作“户堂”。,wu22 daon44
【地垟】,【地垟】,dhiyhan(dhiyhang),di ɦia ̃ (di ɦiɑ̃ ),〈名〉地：一本书落辣～浪掉在地上。,di22 yan44
【缝尘】,【缝尘】,bhongshen,boŋ zəŋ ,〈名〉﹝旧﹞灰尘。◇逢，《集韵》平声东韵蒲蒙切：“逢，尘也。”,bon22 zen44
【山奥】,【山奥】,°seao,’sᴇ ɔ ,山的深处。,se55 au21
【山坳坳】,【山坳坳】,°seaoao,’sᴇ ɔ ɔ ,〈名〉山深转角处。,se55 au33 au21
【瀑布】,【瀑布】,bhokbhu/bhaobhu,boʔ bu /bɔ bu ,瀑布,bau22 bu44
【黄沙】,【黄沙】,whangso,ɦuɑ̃ so ,〈名〉沙子。,waon22 so44
【河滩地】,【河滩地】,whutedhi,ɦu tʰᴇ di ,〈名〉河岸边上的滩地。,wu22 the55 di21
【湖】,【湖】,whu,ɦu ,湖,wu23
【湖泊】,【湖泊】,whupak,ɦu pʰᴀʔ ,湖泊,wu22 phaq4
【河】,【河】,whu,ɦu ,河,wu23
【河浜】,【河浜】,whuban(whubang),ɦu pa ̃ (ɦu pɑ̃ ),〈名〉小河：搿条～一直通到黄浦江。,wu22 pan44
【河塘】,【河塘】,whudhang,ɦu dɑ̃ ,〈名〉小河；小池。,wu22 daon44
【河滩头】,【河滩头】,whutedhou,ɦu tʰᴇ dɤ ,〈名〉河滩那儿。,wu22 the55 deu21
【河滩边】,【河滩边】,whutebi,ɦu tʰᴇ pi ,河滩边,wu22 the55 pi21
【死(河)浜】,【死(河)浜】,xiwhuban/xiban(xiwhubang/xibang),ɕi ɦu pa ̃ /ɕi pa ̃ (ɕi ɦu pɑ̃ /ɕi pɑ̃ ),〈名〉不通的小河。,shi33 wu55 pan21
【浑水】,【浑水】,whensy,ɦuəŋ sɿ ,〈名〉充满杂质浑浊的水。,wen22 sy44
【河坝】,【河坝】,whubo,ɦu po ,河坝,wu22 po44
【石驳岸】,【石驳岸】,shakbokygoe,zᴀʔ poʔ ykø ,〈名〉用石头砌成的河岸。有的能系过往小船的缆绳。,zaq1 poq2 ngoe23
【坳角落】,【坳角落】,aokoklok,ɔ kʰoʔ loʔ ,〈名〉弯曲偏僻的角落：住辣～里，寻也寻勿着。,ao33 koq5 loq21
【转弯角(子)】,【转弯角(子)】,zoewekokzy/zoewekok,tsø uəʔ oʔ tsɿ /tsø uəʔ oʔ ,拐弯角上。,tsoe33 ue55 koq3 tsy21
【弯转】,【弯转】,°wez oe,’uᴇ ts ø ,〈动〉①拐弯：笔直走到底再～过去。②把东西折弯：要拿铅丝～几个圈。,ue55 tsoe21
【水潭(潭)】,【水潭(潭)】,sydhoedhoe/sydhedhe/sydhoe/sydhe,sɿ dø dø /sɿ dᴇ dᴇ /sɿ dø /sɿ dᴇ ,〈名〉水坑。,sy33 doe55 doe21
【没潭潭】,【没潭潭】,mekdhoedhoe/mekdhedhe(makdhoedhoe/makdhedhe),məʔ dø dø /məʔ dᴇ dᴇ (mᴀʔ dø dø /mᴀʔ dᴇ dᴇ ),〈名〉没鞋的水潭。,meq1 doe22 doe23
【空档】,【空档】,kongdang,kʰoŋ tɑ̃ ,〈名〉中间一块空的地方，中间一段空的时间：让我从～里轧进去丨课间廿分钟，我抽搿个～去买眼点心吃。,khon55 taon21
【坳荡】,【坳荡】,aodhang,ɔ dɑ̃ ,〈名〉低洼凹陷的地方。◇又写作“坳塘”。,ao33 daon44
【坳坳】,【坳坳】,aoao,ɔ ɔ ,〈名〉低下去的地方。,ao33 ao44
【坳坳荡荡】,【坳坳荡荡】,aoaodhangdhang,ɔ ɔ dɑ̃ dɑ̃ ,〈名〉高低不平的地方。,ao33 ao55 daon33 daon21
【豁档】,【豁档】,huakdang,huᴀʔ tɑ̃ ,〈名〉开裂的口子。,huaq3 taon44
